ottol_name.id,ottol_name.uid,ottol_name.parent_uid,ottol_name.accepted_uid,ottol_name.preottol_taxid,ottol_name.preottol_parent_taxid,ottol_name.preottol_source,ottol_name.preottol_source_taxid,ottol_name.ncbi_taxid,ottol_name.gbif_taxid,ottol_name.namebank_taxid,ottol_name.treebase_taxid,ottol_name.name,ottol_name.unique_name,ottol_name.rank,ottol_name.comments,ottol_name.mtime
1877022,<NULL>,<NULL>,<NULL>,101427770,100641466,NCBI,281074,<NULL>,<NULL>,<NULL>,<NULL>,Hibanobambusa tranquillans,Hibanobambusa tranquillans,species,<NULL>,2012-10-22 18:13:12
1883078,<NULL>,<NULL>,<NULL>,101364089,100354241,U4,10071,<NULL>,<NULL>,<NULL>,<NULL>,Stegonsporium,Stegonsporium,genus,<NULL>,2012-10-22 18:13:12
1883124,<NULL>,<NULL>,<NULL>,100310775,101696893,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Onoseris gnaphalioides,Onoseris gnaphalioides,species,<NULL>,2012-10-22 18:13:12
1884940,<NULL>,<NULL>,<NULL>,101732421,100747784,U4,491503,<NULL>,<NULL>,<NULL>,<NULL>,Eutypella aulacostroma,Eutypella aulacostroma,species,<NULL>,2012-10-22 18:13:12
1885692,<NULL>,<NULL>,<NULL>,101946279,101014510,U4,3-24608,<NULL>,<NULL>,<NULL>,<NULL>,Perulifera,Perulifera,genus,<NULL>,2012-10-22 18:13:12
1886952,<NULL>,<NULL>,<NULL>,100997274,100997277,U4,3-156854016,<NULL>,<NULL>,<NULL>,<NULL>,Solanum grayi grandiflorum,Solanum grayi grandiflorum,subspecies,<NULL>,2012-10-22 18:13:12
1887710,<NULL>,<NULL>,<NULL>,101130888,101440422,COL,,<NULL>,<NULL>,<NULL>,<NULL>,Paraulacizes irrorata,Paraulacizes irrorata,species,<NULL>,2012-10-22 18:13:12
1887981,<NULL>,<NULL>,<NULL>,101265403,101265428,U4,16-4095,64577,<NULL>,<NULL>,<NULL>,Anisoptera,Anisoptera (above family; in Odonata),above family,<NULL>,2012-12-07 12:23:05
1888981,<NULL>,<NULL>,<NULL>,101228881,100000002,U4,9-14253,<NULL>,<NULL>,<NULL>,<NULL>,Algae incertae sedis,Algae incertae sedis,family,<NULL>,2012-10-22 18:13:12
1889060,<NULL>,<NULL>,<NULL>,101442084,101503166,U4,26-4856,<NULL>,<NULL>,<NULL>,<NULL>,Rana sylvatica,Rana sylvatica,species,<NULL>,2012-10-22 18:13:12
1894041,<NULL>,<NULL>,<NULL>,101656719,101014510,U4,3-24705,<NULL>,<NULL>,<NULL>,<NULL>,Pringleochloa,Pringleochloa,genus,<NULL>,2012-10-22 18:13:12
1894230,<NULL>,<NULL>,<NULL>,100459259,100459260,U4,3-22013016,<NULL>,<NULL>,<NULL>,<NULL>,Celiantha bella,Celiantha bella,species,<NULL>,2012-10-22 18:13:12
1895175,<NULL>,<NULL>,<NULL>,101360761,101360764,U4,3-159089016,<NULL>,<NULL>,<NULL>,<NULL>,Verbena neomexicana hirtella,Verbena neomexicana hirtella,subspecies,<NULL>,2012-10-22 18:13:12
1896503,<NULL>,<NULL>,<NULL>,100276070,101342174,NCBI,195010,<NULL>,<NULL>,<NULL>,<NULL>,Mikrocytos mackini,Mikrocytos mackini,species,<NULL>,2012-10-22 18:13:12
